user_id,item_id,reward,response
1,1,69,True
1,2,39,True
1,3,10,True
1,4,21,True
1,5,83,True
1,6,25,True
1,7,2,False
1,8,96,True
1,9,2,False
1,10,1,False
1,11,12,True
1,12,11,True
1,13,5,False
1,14,38,True
1,15,41,True
1,16,49,True
1,17,25,True
1,18,6,True
2,1,7,True
2,2,2,False
2,3,1,False
2,4,3,False
2,5,12,True
2,6,8,True
2,8,30,True
2,9,1,False
2,10,2,False
2,11,2,False
2,12,1,False
2,13,3,False
2,14,14,True
2,15,3,False
2,16,11,True
2,17,2,False
3,1,8,True
3,2,3,False
3,5,8,True
3,6,8,True
3,7,1,False
3,8,19,True
3,10,2,False
3,11,3,False
3,12,2,False
3,13,9,True
3,14,4,False
3,15,6,True
3,16,15,True
3,17,4,False
4,1,6,True
4,2,3,False
4,5,2,False
4,6,3,False
4,8,3,False
4,12,1,False
4,13,3,False
4,14,1,False
4,15,3,False
4,16,5,False
4,17,1,False
5,1,49,True
5,2,31,True
5,3,13,True
5,4,24,True
5,5,74,True
5,6,8,True
5,8,25,True
5,9,2,False
5,10,1,False
5,11,19,True
5,12,12,True
5,13,2,False
5,14,18,True
5,15,33,True
5,16,16,True
5,17,13,True
5,18,2,False
6,1,25,True
6,2,21,True
6,3,10,True
6,4,20,True
6,5,63,True
6,6,14,True
6,7,1,False
6,8,95,True
6,9,3,False
6,10,6,True
6,11,4,False
6,12,13,True
6,13,11,True
6,14,38,True
6,15,12,True
6,16,22,True
6,17,20,True
6,18,5,False
7,1,91,True
7,2,58,True
7,3,13,True
7,4,33,True
7,5,79,True
7,6,32,True
7,7,3,False
7,8,135,True
7,9,6,True
7,10,11,True
7,11,40,True
7,12,25,True
7,13,17,True
7,14,51,True
7,15,47,True
7,16,74,True
7,17,39,True
7,18,15,True
8,1,34,True
8,2,14,True
8,4,2,False
8,5,6,True
8,6,8,True
8,8,14,True
8,11,1,False
8,13,1,False
8,14,5,False
8,15,15,True
8,16,16,True
8,17,9,True
8,18,3,False
9,1,3,False
9,2,3,False
9,5,5,False
9,8,5,False
9,11,1,False
9,14,6,True
9,15,2,False
9,16,2,False
9,17,3,False
10,1,25,True
10,2,14,True
10,3,7,True
10,4,8,True
10,5,43,True
10,6,13,True
10,7,2,False
10,8,71,True
10,9,1,False
10,10,7,True
10,11,5,False
10,12,14,True
10,13,14,True
10,14,34,True
10,15,10,True
10,16,33,True
10,17,20,True
10,18,5,False
11,1,31,True
11,2,14,True
11,4,5,False
11,5,66,True
11,6,14,True
11,8,76,True
11,9,1,False
11,10,1,False
11,11,5,False
11,12,1,False
11,13,12,True
11,14,37,True
11,15,21,True
11,16,31,True
11,17,17,True
11,18,5,False
12,1,10,True
12,2,3,False
12,3,1,False
12,4,2,False
12,5,12,True
12,6,2,False
12,8,19,True
12,11,1,False
12,12,1,False
12,13,3,False
12,14,12,True
12,15,3,False
12,16,10,True
12,17,5,False
12,18,1,False
13,1,139,True
13,2,68,True
13,3,16,True
13,4,42,True
13,5,166,True
13,6,42,True
13,7,5,False
13,8,185,True
13,9,11,True
13,10,12,True
13,11,49,True
13,12,29,True
13,13,30,True
13,14,96,True
13,15,60,True
13,16,107,True
13,17,39,True
13,18,12,True
14,1,16,True
14,2,12,True
14,3,6,True
14,4,6,True
14,5,32,True
14,6,6,True
14,7,2,False
14,8,33,True
14,9,1,False
14,10,3,False
14,11,1,False
14,12,5,False
14,13,6,True
14,14,18,True
14,15,12,True
14,16,12,True
14,17,8,True
14,18,1,False
15,1,18,True
15,2,9,True
15,3,1,False
15,4,5,False
15,5,25,True
15,6,5,False
15,8,43,True
15,9,3,False
15,10,2,False
15,11,2,False
15,12,1,False
15,13,6,True
15,14,23,True
15,15,11,True
15,16,22,True
15,17,9,True
16,1,30,True
16,2,10,True
16,3,8,True
16,4,9,True
16,5,35,True
16,6,17,True
16,8,49,True
16,9,1,False
16,10,5,False
16,11,9,True
16,12,8,True
16,13,8,True
16,14,23,True
16,15,15,True
16,16,33,True
16,17,12,True
16,18,3,False
17,1,2,False
17,2,2,False
17,4,1,False
17,5,5,False
17,6,2,False
17,8,11,True
17,14,3,False
17,15,3,False
17,16,2,False
17,17,2,False
18,1,25,True
18,2,18,True
18,3,11,True
18,4,19,True
18,5,96,True
18,6,11,True
18,7,2,False
18,8,131,True
18,9,4,False
18,10,4,False
18,11,4,False
18,12,23,True
18,13,9,True
18,14,66,True
18,15,15,True
18,16,22,True
18,17,27,True
18,18,4,False
19,1,1,False
19,2,1,False
19,4,1,False
19,5,5,False
19,8,4,False
19,11,1,False
19,12,1,False
19,14,3,False
19,16,2,False
19,17,1,False
20,1,14,True
20,2,10,True
20,3,4,False
20,4,8,True
20,5,11,True
20,8,11,True
20,9,2,False
20,12,3,False
20,14,7,True
20,15,8,True
20,16,8,True
20,17,6,True
21,1,32,True
21,2,14,True
21,3,8,True
21,4,11,True
21,5,27,True
21,6,14,True
21,7,1,False
21,8,41,True
21,9,1,False
21,10,2,False
21,11,43,True
21,12,6,True
21,13,8,True
21,14,13,True
21,15,19,True
21,16,55,True
21,17,6,True
22,1,61,True
22,2,33,True
22,4,3,False
22,5,60,True
22,6,8,True
22,8,14,True
22,9,1,False
22,10,1,False
22,11,5,False
22,12,4,False
22,13,2,False
22,14,18,True
22,15,24,True
22,16,21,True
22,17,12,True
22,18,2,False
23,1,36,True
23,2,25,True
23,3,10,True
23,4,14,True
23,5,47,True
23,6,7,True
23,7,1,False
23,8,48,True
23,9,2,False
23,10,2,False
23,11,5,False
23,12,16,True
23,13,5,False
23,14,30,True
23,15,27,True
23,16,20,True
23,17,12,True
23,18,3,False
24,1,8,True
24,2,8,True
24,3,1,False
24,4,5,False
24,5,16,True
24,6,7,True
24,8,31,True
24,11,2,False
24,12,3,False
24,13,1,False
24,14,14,True
24,15,6,True
24,16,13,True
24,17,5,False
24,18,1,False
25,1,16,True
25,2,11,True
25,3,8,True
25,4,10,True
25,5,23,True
25,6,2,False
25,8,23,True
25,9,1,False
25,10,1,False
25,11,1,False
25,12,4,False
25,13,2,False
25,14,11,True
25,15,12,True
25,16,14,True
25,17,8,True
25,18,1,False
26,1,30,True
26,2,15,True
26,3,2,False
26,4,3,False
26,5,31,True
26,6,9,True
26,8,37,True
26,10,1,False
26,11,3,False
26,13,6,True
26,14,19,True
26,15,14,True
26,16,26,True
26,17,7,True
26,18,1,False
27,1,7,True
27,2,4,False
27,5,1,False
27,6,1,False
27,8,8,True
27,11,2,False
27,14,2,False
27,15,1,False
27,16,7,True
27,17,3,False
28,1,21,True
28,2,13,True
28,3,1,False
28,4,2,False
28,5,6,True
28,6,6,True
28,8,15,True
28,9,1,False
28,10,1,False
28,11,18,True
28,12,2,False
28,13,3,False
28,14,5,False
28,15,25,True
28,16,29,True
28,17,5,False
28,18,1,False
29,1,6,True
29,4,1,False
29,5,5,False
29,6,4,False
29,8,10,True
29,10,2,False
29,11,1,False
29,13,2,False
29,14,3,False
29,15,3,False
29,16,10,True
29,17,4,False
29,18,1,False
30,1,15,True
30,2,12,True
30,3,1,False
30,4,4,False
30,5,14,True
30,6,3,False
30,8,9,True
30,9,1,False
30,12,2,False
30,13,1,False
30,14,9,True
30,15,8,True
30,16,8,True
30,17,3,False
31,1,4,False
31,2,2,False
31,5,4,False
31,6,2,False
31,7,2,False
31,8,11,True
31,10,2,False
31,12,1,False
31,13,4,False
31,14,7,True
31,15,2,False
31,16,5,False
31,17,1,False
32,1,13,True
32,2,8,True
32,3,2,False
32,4,1,False
32,5,10,True
32,6,4,False
32,8,10,True
32,11,2,False
32,13,2,False
32,14,6,True
32,15,8,True
32,16,9,True
32,17,5,False
33,1,7,True
33,2,1,False
33,5,1,False
33,6,2,False
33,8,6,True
33,11,2,False
33,13,2,False
33,15,2,False
33,16,10,True
33,17,3,False
34,5,1,False
34,6,1,False
34,8,4,False
34,11,1,False
34,12,1,False
34,13,1,False
34,14,1,False
34,16,1,False
35,1,8,True
35,2,2,False
35,5,2,False
35,6,1,False
35,8,5,False
35,13,3,False
35,14,2,False
35,15,3,False
35,16,8,True
35,17,2,False
36,1,1,False
36,2,1,False
36,4,2,False
36,5,3,False
36,8,3,False
36,11,1,False
36,12,1,False
36,13,2,False
36,14,2,False
36,15,1,False
36,16,3,False
37,1,42,True
37,2,17,True
37,5,3,False
37,6,6,True
37,8,4,False
37,9,1,False
37,10,1,False
37,11,1,False
37,13,1,False
37,14,8,True
37,15,15,True
37,16,21,True
37,17,5,False
38,1,25,True
38,2,18,True
38,3,8,True
38,4,21,True
38,5,37,True
38,6,2,False
38,8,23,True
38,9,3,False
38,10,1,False
38,11,14,True
38,12,10,True
38,13,2,False
38,14,15,True
38,15,10,True
38,16,20,True
38,17,7,True
38,18,1,False
39,1,2,False
39,5,4,False
39,6,2,False
39,8,4,False
39,10,1,False
39,11,2,False
39,12,1,False
39,13,2,False
39,14,2,False
39,15,1,False
39,16,5,False
40,1,7,True
