user_id,item_id,response
0,899,True
0,1361,True
0,1429,True
0,1487,True
0,512,True
0,227,True
0,627,True
0,1133,True
0,291,True
0,1061,True
0,23,True
0,1356,True
0,583,True
0,560,True
0,872,True
0,597,True
0,1296,True
0,958,True
0,710,True
0,932,True
0,687,True
0,1191,True
0,1536,True
0,913,True
0,1277,True
0,1180,True
0,898,True
0,666,True
0,761,True
0,1103,True
0,1381,True
0,410,True
0,196,True
0,1291,True
0,941,True
0,115,True
0,642,True
0,1244,True
0,816,True
0,488,True
0,147,True
0,754,True
0,1212,True
0,803,True
0,778,True
0,785,True
0,1554,True
0,43,True
0,1088,True
0,1368,True
0,152,True
0,1389,True
0,269,True
0,960,True
0,957,True
0,143,True
0,946,True
0,274,True
0,925,True
0,935,True
0,917,True
0,574,True
0,679,True
0,591,True
0,31,True
0,142,True
0,793,True
0,865,True
0,1316,True
0,24,True
0,570,True
0,842,True
0,542,True
0,13,True
0,146,True
0,131,True
0,863,True
0,571,True
0,1179,True
0,1251,True
0,435,True
0,202,True
0,513,True
0,476,True
0,58,True
0,845,True
0,949,True
0,475,True
0,1558,True
0,1308,True
0,752,True
0,15,True
0,667,True
0,1261,True
0,1206,True
0,312,True
0,1409,True
0,770,True
0,125,True
0,1455,True
0,182,True
0,50,True
0,672,True
0,302,True
0,1376,True
0,1037,True
0,1540,True
0,1373,True
0,209,True
0,1220,True
0,1252,True
0,808,True
0,650,True
0,903,True
0,22,True
0,358,True
0,329,True
0,1281,True
0,286,True
0,595,True
0,1106,True
0,677,True
0,324,True
0,1146,True
0,155,True
0,117,True
0,62,True
0,134,True
0,78,True
0,1040,True
0,425,True
0,60,True
0,849,True
0,1038,True
0,587,True
0,1546,True
0,848,True
0,811,True
0,884,True
0,1440,True
0,629,True
0,517,True
0,1388,True
0,796,True
0,317,True
0,928,True
0,369,True
0,1351,True
0,5,True
0,1470,True
0,955,True
0,467,True
0,825,True
0,655,True
0,885,True
0,1211,True
0,1050,True
0,844,True
0,1076,True
0,1550,True
0,1169,True
0,1295,True
0,1537,True
0,879,True
0,1360,True
0,831,True
0,1385,True
0,52,True
0,1538,True
0,828,True
0,1521,True
0,1028,True
0,927,True
0,235,True
0,1386,True
0,1566,True
0,617,True
0,834,True
0,129,True
0,1549,True
0,28,True
0,794,True
0,71,True
0,1575,True
0,1200,True
0,728,True
0,1510,True
0,1006,True
0,1513,True
0,251,True
0,806,True
0,192,True
